x y z p
15.436186 -0.016204 1.079403 0.832222
15.389112 -0.016204 1.617461 0.777067
15.434522 0.992724 -1.622234 0.777067
15.481734 0.992724 -1.082588 0.832222
15.519539 0.992724 0.000000 0.950000
15.481734 0.992724 1.082588 0.832222
15.434522 0.992724 1.622234 0.777067
15.413207 2.015603 -1.619993 0.777067
15.460355 2.015603 -1.081093 0.832222
15.498107 2.015603 0.000000 0.950000
15.460355 2.015603 1.081093 0.832222
15.413207 2.015603 1.619993 0.777067
15.412154 2.992677 -1.619883 0.777067
15.459299 2.992677 -1.081019 0.832222
15.497048 2.992677 0.000000 0.950000
15.459299 2.992677 1.081019 0.832222
15.412154 2.992677 1.619883 0.777067
15.421099 4.007248 -1.620823 0.777067
15.468271 4.007248 -1.081647 0.832222
15.506042 4.007248 0.000000 0.950000
15.468271 4.007248 1.081647 0.832222
15.421099 4.007248 1.620823 0.777067
15.454849 5.001311 -1.624370 0.777067
15.502125 5.001311 -1.084014 0.832222
15.539979 5.001311 0.000000 0.950000
15.502125 5.001311 1.084014 0.832222
15.454849 5.001311 1.624370 0.777067
15.433095 5.991050 -1.622084 0.777067
15.480304 5.991050 -1.082488 0.832222
15.518105 5.991050 0.000000 0.950000
15.480304 5.991050 1.082488 0.832222
15.433095 5.991050 1.622084 0.777067
15.425832 7.009914 -1.621320 0.777067
15.473019 7.009914 -1.081979 0.832222
15.510801 7.009914 0.000000 0.950000
15.473019 7.009914 1.081979 0.832222
15.425832 7.009914 1.621320 0.777067
15.381644 7.989627 -1.616676 0.777067
15.428696 7.989627 -1.078879 0.832222
15.466371 7.989627 0.000000 0.950000
15.428696 7.989627 1.078879 0.832222
15.381644 7.989627 1.616676 0.777067
15.442584 9.004683 -1.623081 0.777067
15.489822 9.004683 -1.083154 0.832222
15.527646 9.004683 0.000000 0.950000
15.489822 9.004683 1.083154 0.832222
15.442584 9.004683 1.623081 0.777067
15.389877 9.980377 -1.617541 0.777067
15.436954 9.980377 -1.079457 0.832222
15.474648 9.980377 0.000000 0.950000
15.436954 9.980377 1.079457 0.832222
15.389877 9.980377 1.617541 0.777067
15.505416 10.916813 -1.629685 0.777067
15.552846 10.916813 -1.087561 0.832222
15.590824 10.916813 0.000000 0.950000
15.552846 10.916813 1.087561 0.832222
15.505416 10.916813 1.629685 0.777067
16.639959 -11.715604 -1.748930 0.777067
16.708687 -11.715604 -0.875665 0.871306
16.731617 -11.715604 0.000000 0.950000
16.708687 -11.715604 0.875665 0.871306
16.639959 -11.715604 1.748930 0.777067
16.378351 -11.003944 -1.721434 0.777067
16.445997 -11.003944 -0.861898 0.871306
16.468567 -11.003944 0.000000 0.950000
16.445997 -11.003944 0.861898 0.871306
16.378351 -11.003944 1.721434 0.777067
16.395239 -9.968279 -1.723209 0.777067
16.462955 -9.968279 -0.862787 0.871306
16.485548 -9.968279 0.000000 0.950000
16.462955 -9.968279 0.862787 0.871306
16.395239 -9.968279 1.723209 0.777067
16.411646 -9.008419 -1.724933 0.777067
16.479429 -9.008419 -0.863650 0.871306
16.502045 -9.008419 0.000000 0.950000
16.479429 -9.008419 0.863650 0.871306
16.411646 -9.008419 1.724933 0.777067
16.407211 -8.003683 -1.724468 0.777067
16.474977 -8.003683 -0.863417 0.871306
16.497587 -8.003683 0.000000 0.950000
16.474977 -8.003683 0.863417 0.871306
16.407211 -8.003683 1.724468 0.777067
16.442005 -6.990433 -1.728124 0.777067
